repo_name,issue_number,title,labels
journals,17,add a copy button for any code snippet block,bug
journals,12,implement SEO. AEO and GEO,enhancement
ghpm,12,make it a weekly release,
portfolio,135,Code snippet for public commits per day,"documentation, enhancement, good first issue, frontend"
portfolio,134,consolidate project section and project pages,"documentation, enhancement, frontend"
portfolio,133,project journaling routine development,"documentation, enhancement"
portfolio,127,add public speaking and educator optimisations,"enhancement, SEO"
portfolio,122,Add doh to projects,"documentation, enhancement, good first issue"
portfolio,105,implement radar graph for skills,enhancement
Theseus,80,migrate to unittest,
Theseus,79,css improvements,enhancement
Theseus,76,ui feedback from regina,"enhancement, ui/ux"
Theseus,75,make the ui responsive,"enhancement, ui/ux"
Theseus,61,Try integrating bend,"enhancement, help wanted"
Theseus,30,Star summary,
Theseus,27,feat: support for local repository paths,enhancement
DORA,71,streamlit app broke,bug
DORA,70,improve tui,enhancement
DORA,67,implement time series analysis,enhancement
DORA,63,Update the demo website,enhancement
DORA,62,update text color for readability,enhancement
DORA,46,add handling for UCI repository like kaggle,enhancement
DORA,42,add custom color palette + dark mode,enhancement
tram,1,"TRAM MVP (install, remove, list, check) using Python Standard Library",
getting-rusty,1,getting started with basics,documentation
doh,22,more cybersecurity questions,add-questions
doh,21,add myth busters,"enhancement, add-questions"
yoink,6,brainstorm implementation into CLI tools,
rule-of-5-visualiser,3,implement visualisation,enhancement
MarkMyBench,4,Traditional RAG vs PageIndex RAG,enhancement
MarkMyBench,3,pandas vs polars,
Natural-LangWiz,50,Tidy up the project,enhancement
Natural-LangWiz,49,Coreference Resolution,
Natural-LangWiz,48,Dependency Parsing,
Natural-LangWiz,47,Fine-Tuning a Transformer Model,
Natural-LangWiz,46,Relationship Extraction,
Natural-LangWiz,45,Word Embeddings,
SERPENT,31,make library that can explain a function it is passed onto,enhancement
SERPENT,26,implement english to flow chart,enhancement
RecommendationHaki,69,feat: improve description based recommendation,enhancement
RecommendationHaki,68,feat: connect with MyAnimeList and similar platforms,enhancement
RecommendationHaki,67,feat: add toggle for nsfw recommedation,enhancement
open-see-wee,40,Deployment,
open-see-wee,39,Edge detection module,
open-see-wee,38,Morphology module,
open-see-wee,37,Blur and sharpen module,
open-see-wee,36,Project Skeleton & Basic I/O,
open-see-wee,33,Create an interactive playground,enhancement
open-see-wee,32,Pivot to Jupyter notebook,
open-see-wee,31,Add argparser support,
WhatsTheSource,4,Add the title to the result,
WhatsTheSource,3,Making the MVP,
LittleLogger,22,"Test if we support GridSearch and things like ""Multithreading"" / ""Multiprocessing""",documentation
playground-repo,20,Play around with RShiny,
playground-repo,16,Play around with Numba,
playground-repo,15,Explore PyPy interpreter,
playground-repo,14,Check the yield function instead of return,
playground-repo,13,Try Py Narrative,test
playground-repo,12,Try POML,test
playground-repo,10,Markdown to image,test
playground-repo,8,Try GPT researcher,
playground-repo,7,Explore sound based AI algorithms,test
playground-repo,5,try ELI5,
playground-repo,3,try pypalette,
PlateScribe,20,enchaning the model output,
trend-analysis,1,smart-phone-ind-2025,
StoDir,45,Use Cython for train.py,enhancement
StoDir,43,data acquisition,
StoDir,40,Portfolio Generalization,enhancement
CodeCorsa,1,inital-prototype,enhancement
VibeCheck,1,development,
deep-learning,8,ann-practice,
QuickVU,30,improving the existing framework,
QuickVU,29,model selection,
customer-satisfaction,8,deployment,
ThreadRace,3,fixing directory structure,
monte-carlo-simulation,3,martingale strategy,
AsiFunctions,9,formatting improvements,
